episode,steps,score,avg_reward_last5
1,764,-21.0,-21.0
2,1676,-21.0,-21.0
3,2670,-19.0,-20.333333333333332
4,3568,-20.0,-20.25
5,4420,-21.0,-20.4
6,5365,-21.0,-20.4
7,6219,-21.0,-20.4
8,7039,-21.0,-20.8
9,7923,-21.0,-21.0
10,8775,-21.0,-21.0
11,9766,-20.0,-20.8
12,10654,-21.0,-20.8
13,11506,-21.0,-20.8
14,12452,-21.0,-20.8
15,13623,-17.0,-20.0
16,14521,-20.0,-20.0
17,15448,-20.0,-19.8
18,16268,-21.0,-19.8
19,17092,-21.0,-19.8
20,18039,-20.0,-20.4
21,18910,-21.0,-20.6
22,19830,-20.0,-20.6
23,20682,-21.0,-20.6
24,21613,-20.0,-20.4
25,22405,-21.0,-20.6
26,23345,-20.0,-20.4
27,24255,-21.0,-20.6
28,25325,-19.0,-20.2
29,26244,-20.0,-20.2
30,27130,-21.0,-20.2
