episode,steps,score,avg_reward_last5
1,899,-20.0,-20.0
2,1663,-21.0,-20.5
3,2427,-21.0,-20.666666666666668
4,3369,-21.0,-20.75
5,4282,-21.0,-20.8
6,5298,-18.0,-20.4
7,6155,-21.0,-20.4
8,7093,-19.0,-20.0
9,8043,-19.0,-19.6
10,8869,-21.0,-19.6
11,9740,-21.0,-20.2
12,10582,-20.0,-20.0
13,11637,-19.0,-20.0
14,12462,-21.0,-20.4
15,13226,-21.0,-20.4
16,14171,-20.0,-20.2
17,15092,-20.0,-20.2
18,15934,-20.0,-20.4
19,16698,-21.0,-20.4
20,17592,-20.0,-20.2
21,18434,-20.0,-20.2
22,19364,-20.0,-20.2
23,20311,-21.0,-20.4
24,21214,-20.0,-20.2
25,22172,-20.0,-20.2
26,23164,-20.0,-20.2
27,23976,-21.0,-20.4
28,25014,-19.0,-20.0
29,25922,-20.0,-20.0
30,26809,-21.0,-20.2
