episode,steps,score,avg_reward_last5
1,991,-20.0,-20.0
2,1755,-21.0,-20.5
3,2626,-20.0,-20.333333333333332
4,3587,-20.0,-20.25
5,4526,-20.0,-20.2
6,5374,-21.0,-20.4
7,6200,-21.0,-20.4
8,7409,-18.0,-20.0
9,8611,-18.0,-19.6
10,9667,-19.0,-19.4
11,10605,-20.0,-19.2
12,11535,-20.0,-19.0
13,12359,-21.0,-19.6
14,13202,-20.0,-20.0
15,14256,-20.0,-20.2
16,15169,-21.0,-20.4
17,16240,-20.0,-20.4
18,17212,-21.0,-20.4
19,18055,-20.0,-20.4
20,18907,-21.0,-20.6
21,19783,-21.0,-20.6
22,20756,-21.0,-20.8
23,21857,-20.0,-20.6
24,22678,-21.0,-20.8
25,23724,-20.0,-20.6
26,24703,-20.0,-20.4
27,25703,-19.0,-20.0
28,26618,-21.0,-20.2
29,27470,-21.0,-20.2
30,28510,-19.0,-20.0
