episode,steps,score,avg_reward_last5
1,824,-21.0,-21.0
2,1722,-20.0,-20.5
3,2580,-21.0,-20.666666666666668
4,3419,-21.0,-20.75
5,4202,-21.0,-20.8
6,5054,-21.0,-20.8
7,5968,-21.0,-21.0
8,6760,-21.0,-21.0
9,7659,-20.0,-20.8
10,8423,-21.0,-20.8
11,9312,-20.0,-20.6
12,10474,-21.0,-20.6
13,11376,-20.0,-20.4
14,12140,-21.0,-20.6
15,13077,-19.0,-20.2
16,13860,-21.0,-20.4
17,14792,-20.0,-20.2
18,15556,-21.0,-20.4
19,16380,-21.0,-20.4
20,17206,-21.0,-20.8
21,18110,-20.0,-20.6
22,19134,-20.0,-20.6
23,20019,-21.0,-20.6
24,20783,-21.0,-20.6
25,21788,-21.0,-20.6
26,22792,-20.0,-20.6
27,23556,-21.0,-20.8
28,24398,-20.0,-20.6
29,25310,-21.0,-20.6
30,26361,-20.0,-20.4
